,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID,Edge Weight
debmgriffin2,us,,,,,,,,,,3,,,Mentions,4/30/2019 15:53,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:53,https://twitter.com/#!/debmgriffin2/status/1123253941129633798,,,1123253941129633798,,1
debmgriffin2,natlparkservice,,,,,,,,,,4,,,Mentions,4/30/2019 15:53,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:53,https://twitter.com/#!/debmgriffin2/status/1123253941129633798,,,1123253941129633798,,1
debmgriffin2,flotus,,,,,,,,,,5,,,Mentions,4/30/2019 15:53,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:53,https://twitter.com/#!/debmgriffin2/status/1123253941129633798,,,1123253941129633798,,1
joliv2travel,us,,,,,,,,,,6,,,Mentions,4/30/2019 15:54,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:54,https://twitter.com/#!/joliv2travel/status/1123254207459381248,,,1123254207459381248,,1
joliv2travel,natlparkservice,,,,,,,,,,7,,,Mentions,4/30/2019 15:54,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:54,https://twitter.com/#!/joliv2travel/status/1123254207459381248,,,1123254207459381248,,1
joliv2travel,flotus,,,,,,,,,,8,,,Mentions,4/30/2019 15:54,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:54,https://twitter.com/#!/joliv2travel/status/1123254207459381248,,,1123254207459381248,,1
randallmccaffry,us,,,,,,,,,,9,,,Mentions,4/30/2019 15:54,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:54,https://twitter.com/#!/randallmccaffry/status/1123254289600790528,,,1123254289600790528,,1
randallmccaffry,natlparkservice,,,,,,,,,,10,,,Mentions,4/30/2019 15:54,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:54,https://twitter.com/#!/randallmccaffry/status/1123254289600790528,,,1123254289600790528,,1
randallmccaffry,flotus,,,,,,,,,,11,,,Mentions,4/30/2019 15:54,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:54,https://twitter.com/#!/randallmccaffry/status/1123254289600790528,,,1123254289600790528,,1
santosr45387799,us,,,,,,,,,,12,,,Mentions,4/30/2019 15:54,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:54,https://twitter.com/#!/santosr45387799/status/1123254376859152384,,,1123254376859152384,,1
santosr45387799,natlparkservice,,,,,,,,,,13,,,Mentions,4/30/2019 15:54,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:54,https://twitter.com/#!/santosr45387799/status/1123254376859152384,,,1123254376859152384,,1
santosr45387799,flotus,,,,,,,,,,14,,,Mentions,4/30/2019 15:54,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:54,https://twitter.com/#!/santosr45387799/status/1123254376859152384,,,1123254376859152384,,1
clantonmiller,us,,,,,,,,,,15,,,Mentions,4/30/2019 15:55,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:55,https://twitter.com/#!/clantonmiller/status/1123254588272992259,,,1123254588272992259,,1
clantonmiller,natlparkservice,,,,,,,,,,16,,,Mentions,4/30/2019 15:55,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:55,https://twitter.com/#!/clantonmiller/status/1123254588272992259,,,1123254588272992259,,1
clantonmiller,flotus,,,,,,,,,,17,,,Mentions,4/30/2019 15:55,RT @FLOTUS: It was wonderful to visit the Washington Monument and US National Arboretum with Mrs. Abe on Saturday! Cc: @Natlparkservice @US…,,,,4/30/2019 15:55,https://twitter.com/#!/clantonmiller/status/1123254588272992259,,,1123254588272992259,,1
kwzerbe,emapr_lab,,,,,,,,,,18,,,Mentions,4/30/2019 15:56,"RT @eMapR_Lab: (1/4) The largest dam removal project in U.S. history - Elwha River - Olympic Peninsula, WA. Two dams removed -  #salmon #ha…",,,salmon,4/30/2019 15:56,https://twitter.com/#!/kwzerbe/status/1123254832469618688,,,1123254832469618688,,1
