,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID
goanalytics360,natgeomaps,,,,,,,,,,,,,Mentions,4/27/2019 14:02,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/27/2019 14:02,https://twitter.com/#!/goanalytics360/status/1122138996392562697,,,1122138996392562697,
datanme,natgeomaps,,,,,,,,,,,,,Mentions,4/27/2019 14:30,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/27/2019 14:30,https://twitter.com/#!/datanme/status/1122146045163495424,,,1122146045163495424,
vizualdatos,natgeomaps,,,,,,,,,,,,,Mentions,4/27/2019 15:09,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/27/2019 15:09,https://twitter.com/#!/vizualdatos/status/1122155742428127232,,,1122155742428127232,
arunbalaji_aji,natgeomaps,,,,,,,,,,,,,Mentions,4/27/2019 15:17,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/27/2019 15:17,https://twitter.com/#!/arunbalaji_aji/status/1122157794923294721,,,1122157794923294721,
studio_v2,natgeomaps,,,,,,,,,,,,,Mentions,4/27/2019 15:18,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/27/2019 15:18,https://twitter.com/#!/studio_v2/status/1122158203796643848,,,1122158203796643848,
felipenlaces,natgeomaps,,,,,,,,,,,,,Mentions,4/27/2019 16:37,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/27/2019 16:37,https://twitter.com/#!/felipenlaces/status/1122178033400545281,,,1122178033400545281,
nyko,natgeomaps,,,,,,,,,,,,,Mentions,4/27/2019 17:20,RT @NatGeoMaps: Map of the Day: This historic map shows the global impact of El Niño in 1982-83. https://t.co/IHjTDsKWnH,,,,4/27/2019 17:20,https://twitter.com/#!/nyko/status/1122188834781921280,,,1122188834781921280,
nyko,natgeomaps,,,,,,,,,,,,,Mentions,4/27/2019 17:23,"RT @NatGeoMaps: Our nights are getting brighter, and Earth is paying the price https://t.co/5CNx8wefiI https://t.co/uKTfTKnBiG",https://on.natgeo.com/2YWEcsQ,natgeo.com,,4/27/2019 17:23,https://twitter.com/#!/nyko/status/1122189487382069250,,,1122189487382069250,
nyko,natgeomaps,,,,,,,,,,,,,Mentions,4/27/2019 17:24,"RT @NatGeoMaps: Map of the Day: This 1992 map depicts the vast Amazon basin, a gigantic ecological machine of global importance. The basin…",,,,4/27/2019 17:24,https://twitter.com/#!/nyko/status/1122189851284127745,,,1122189851284127745,
greenynorfolk,natgeomaps,,,,,,,,,,,,,Mentions,4/27/2019 17:38,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/27/2019 17:38,https://twitter.com/#!/greenynorfolk/status/1122193391603933184,,,1122193391603933184,
geographygem,natgeomaps,,,,,,,,,,,,,Mentions,4/27/2019 18:25,"RT @NatGeoMaps: Map of the Day: This April 1974 map shows six forest zones in North America. Variations in climate, elevation, and soil det…",,,,4/27/2019 18:25,https://twitter.com/#!/geographygem/status/1122205220019290112,,,1122205220019290112,
mitskibluez,natgeomaps,,,,,,,,,,,,,Mentions,4/27/2019 20:23,"RT @NatGeoMaps: New research shows that global warming has already affected the economies of nations around the world, and the countries th…",,,,4/27/2019 20:23,https://twitter.com/#!/mitskibluez/status/1122234894556520449,,,1122234894556520449,
darrenlonghk,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 0:54,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/28/2019 0:54,https://twitter.com/#!/darrenlonghk/status/1122303126051020800,,,1122303126051020800,
darrenlonghk,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 0:58,"RT @NatGeoMaps: This #ArborDay, explore how trees secretly talk to each other in the forest https://t.co/KhbD710QOy https://t.co/LYIvJ3GlCJ",https://on.natgeo.com/2DwNna7,natgeo.com,arborday,4/28/2019 0:58,https://twitter.com/#!/darrenlonghk/status/1122303954879045633,,,1122303954879045633,
zachausmus,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 3:09,"RT @NatGeoMaps: Published in October 1949, this map highlights the top of the world. https://t.co/gpPPDDNxmG https://t.co/nrq8UxMQTg",https://on.natgeo.com/2vp7Yc7,natgeo.com,,4/28/2019 3:09,https://twitter.com/#!/zachausmus/status/1122336997799014401,,,1122336997799014401,
chinodeguzwald,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 3:10,"RT @NatGeoMaps: Published in October 1949, this map highlights the top of the world. https://t.co/gpPPDDNxmG https://t.co/nrq8UxMQTg",https://on.natgeo.com/2vp7Yc7,natgeo.com,,4/28/2019 3:10,https://twitter.com/#!/chinodeguzwald/status/1122337196277551105,,,1122337196277551105,
jonhirsttalks,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 3:11,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/28/2019 3:11,https://twitter.com/#!/jonhirsttalks/status/1122337399416283136,,,1122337399416283136,
surdoubleu,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 3:21,"RT @NatGeoMaps: Published in October 1949, this map highlights the top of the world. https://t.co/gpPPDDNxmG https://t.co/nrq8UxMQTg",https://on.natgeo.com/2vp7Yc7,natgeo.com,,4/28/2019 3:21,https://twitter.com/#!/surdoubleu/status/1122340077734993922,,,1122340077734993922,
ouyangyaobin,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 6:21,"RT @NatGeoMaps: This #ArborDay, explore how trees secretly talk to each other in the forest https://t.co/KhbD710QOy https://t.co/LYIvJ3GlCJ",https://on.natgeo.com/2DwNna7,natgeo.com,arborday,4/28/2019 6:21,https://twitter.com/#!/ouyangyaobin/status/1122385382723579905,,,1122385382723579905,
ingeododo,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 6:34,"RT @NatGeoMaps: Published in October 1949, this map highlights the top of the world. https://t.co/gpPPDDNxmG https://t.co/nrq8UxMQTg",https://on.natgeo.com/2vp7Yc7,natgeo.com,,4/28/2019 6:34,https://twitter.com/#!/ingeododo/status/1122388483258056705,,,1122388483258056705,
axelkreuter,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 9:37,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/28/2019 9:37,https://twitter.com/#!/axelkreuter/status/1122434579938324480,,,1122434579938324480,
